,Event,FP1,FP2,F3,F4,F7,F8,C3,C4,P3,P4,O1,O2,T3,T4,T5,T6,FZ,CZ,PZ
476,0,2.9,7.8,-1.6,10.4,-2.2,-0.1,1.0,-14.3,-2.7,-6.4,2.8,1.3,1.3,-2.9,12.2,16.7,-2.3,8.0,118.4
477,0,1.7,6.0,-3.1,9.6,-4.8,1.4,0.7,-14.3,-2.6,-5.5,3.7,3.0,-0.5,-0.8,11.8,19.2,-3.6,8.5,119.3
478,0,0.3,5.4,-4.9,8.9,-6.5,0.5,0.6,-14.3,-1.7,-5.5,5.0,-0.1,-0.6,-1.3,10.9,19.5,-4.5,9.0,121.2
479,0,-2.6,3.6,-7.6,7.2,-7.2,-2.2,-1.5,-15.0,-2.7,-6.1,1.5,-4.4,-1.1,-2.6,7.7,19.5,-7.2,7.8,121.8
480,0,-2.8,2.4,-9.2,6.4,-5.6,-2.0,-3.7,-14.5,-4.5,-4.7,-1.1,3.5,-2.2,-0.6,4.3,22.7,-8.2,6.9,123.4
481,0,0.2,2.8,-8.2,7.1,-3.6,-0.8,-4.3,-12.9,-5.4,-2.4,1.1,13.2,-3.7,1.2,2.9,25.9,-6.3,7.3,127.0
482,0,1.1,1.6,-6.8,6.4,-5.2,-3.5,-4.9,-13.0,-6.3,-3.2,1.3,5.6,-5.8,-1.9,2.9,24.0,-5.7,6.8,128.1
483,0,-0.2,-1.4,-5.9,3.8,-7.9,-7.0,-5.6,-15.1,-6.2,-6.2,-2.3,-10.2,-5.7,-5.9,3.7,19.5,-7.3,5.6,126.9
484,0,0.4,-2.4,-3.9,2.8,-7.1,-6.8,-4.7,-16.0,-3.5,-7.5,-1.4,-12.3,-2.7,-6.1,5.1,17.2,-7.5,6.0,128.3
485,0,2.0,-2.1,-1.5,4.6,-4.6,-5.2,-3.3,-14.9,-0.7,-7.3,3.8,-3.5,-0.5,-4.1,7.1,16.1,-6.0,7.3,132.4
486,0,1.9,-4.3,-1.5,6.8,-4.4,-4.7,-3.1,-13.6,0.2,-7.1,6.6,2.1,-0.6,-2.5,9.6,14.8,-5.8,7.6,134.9
487,0,2.6,-6.7,-2.0,8.2,-4.3,-3.4,-2.4,-12.4,1.3,-5.7,8.7,5.6,0.1,-2.6,12.4,15.3,-5.7,8.2,136.0
488,0,6.6,-4.9,1.5,9.6,-0.7,-1.6,-0.2,-10.7,3.8,-4.4,11.9,8.9,3.1,-4.6,14.3,16.0,-2.3,10.2,136.9
489,0,10.2,-0.4,8.0,10.2,3.8,-2.5,1.7,-10.1,4.9,-5.9,11.5,3.4,6.4,-7.3,14.0,13.2,2.4,11.9,135.8
490,0,11.3,2.6,12.9,9.9,6.4,-4.8,2.2,-10.4,5.1,-7.2,10.4,-4.6,8.8,-8.5,13.0,11.0,4.2,12.5,134.5
491,0,11.8,4.3,14.2,10.4,7.3,-4.4,2.7,-9.8,5.0,-4.7,12.7,-1.2,9.2,-6.6,11.6,14.6,3.7,12.9,136.2
492,0,13.3,6.3,13.0,12.5,7.6,-1.4,3.0,-9.4,3.5,-2.0,12.1,6.1,6.3,-3.4,10.5,18.3,2.5,12.0,138.3
493,0,15.4,8.4,11.9,15.6,7.4,1.4,3.8,-9.6,2.4,-1.8,7.4,4.0,2.6,-0.7,10.9,17.2,2.0,10.7,139.4
494,0,17.3,11.1,13.7,19.0,7.3,4.6,5.8,-8.3,3.8,-1.3,5.2,-3.4,2.0,1.5,12.3,16.2,3.2,11.5,141.3
495,0,18.2,13.3,16.6,20.3,7.0,9.0,6.3,-6.8,3.8,-1.6,2.8,-9.8,3.2,3.0,11.8,15.7,4.2,12.2,141.9
496,0,17.2,13.1,16.9,17.8,5.4,11.7,3.4,-8.1,-0.2,-5.7,-4.6,-15.4,1.8,3.3,9.3,11.1,2.4,9.2,138.7
497,0,15.5,10.6,14.3,14.2,3.5,11.7,1.0,-9.6,-3.1,-8.6,-9.3,-16.6,-0.9,3.6,8.2,7.6,-0.8,6.1,136.4
498,0,15.3,8.5,12.7,12.1,4.3,10.1,2.7,-8.9,-1.0,-5.3,-5.9,-12.3,-0.2,4.3,10.0,12.0,-2.2,6.9,139.0
499,0,16.0,7.6,13.1,10.8,5.8,7.3,5.2,-9.4,2.3,-1.3,0.0,-6.7,2.5,3.5,12.8,17.5,-2.0,8.5,142.9
500,0,14.7,6.6,12.1,8.9,2.6,4.2,3.7,-12.9,2.8,-2.2,3.9,-0.3,1.7,0.6,14.0,15.3,-3.0,6.6,143.9
501,0,12.4,6.1,9.6,7.8,-2.9,3.1,0.2,-15.1,1.5,-3.8,6.4,6.3,-1.8,-1.7,12.8,11.2,-4.9,4.1,144.1
502,0,12.2,6.5,8.1,8.0,-3.8,3.8,-1.2,-13.7,0.8,-2.1,4.9,7.3,-2.7,-1.2,10.1,12.9,-5.7,4.1,145.2
503,0,13.8,5.7,6.7,7.1,-1.2,3.5,-1.6,-12.2,0.2,-1.5,-1.4,0.5,-0.8,0.6,7.1,15.0,-6.0,3.8,145.0
504,0,15.1,4.4,5.4,5.9,0.1,1.9,-1.4,-11.3,0.3,-3.2,-4.3,-5.0,0.6,2.0,5.8,14.0,-5.5,3.4,144.9
505,0,15.9,4.7,5.8,7.3,0.2,1.7,1.5,-8.5,2.8,-2.3,-0.6,-1.7,2.1,3.6,6.8,14.1,-3.4,6.2,147.8
506,0,15.8,4.5,6.4,9.0,1.5,2.8,5.0,-6.2,5.6,-0.5,1.3,3.1,4.2,4.8,9.3,14.9,-2.3,9.0,150.1
507,0,14.5,3.0,5.5,7.8,2.6,3.4,4.9,-6.7,6.1,-1.3,-0.2,2.8,4.8,4.3,11.7,14.0,-3.9,7.6,149.2
508,0,13.0,2.4,4.9,5.9,1.8,3.2,2.8,-7.0,6.1,-1.4,2.3,2.2,3.9,2.6,13.1,14.6,-5.5,5.4,149.3
509,0,11.0,1.0,4.2,4.7,-0.5,1.5,1.6,-5.9,7.0,1.3,8.3,5.5,3.4,1.6,14.1,17.7,-6.2,5.8,152.5
510,0,7.9,-2.8,2.1,2.8,-2.1,-0.8,0.0,-6.2,7.2,3.6,10.8,10.8,2.8,1.0,14.9,19.1,-7.5,6.1,155.1
511,0,5.0,-5.1,0.3,1.2,-1.4,-1.0,-2.6,-7.5,4.5,3.3,7.9,13.0,0.6,0.7,13.2,16.9,-8.1,5.1,154.9
512,0,4.0,-3.9,0.5,2.1,-0.2,1.4,-4.5,-7.2,1.0,1.8,4.0,11.7,-2.1,1.6,10.2,14.3,-6.7,5.2,153.8
513,0,5.6,-1.8,2.4,4.1,0.6,3.8,-4.2,-5.9,0.7,1.1,2.7,7.9,-2.6,3.3,10.6,14.3,-4.4,7.0,153.7
514,0,9.3,0.4,5.5,5.8,2.2,4.9,-2.4,-5.1,3.6,0.7,4.7,1.7,-0.2,3.9,14.3,14.9,-2.3,8.6,155.2
515,0,13.1,3.4,9.3,7.3,4.3,5.5,-0.5,-3.4,7.3,0.9,10.5,0.8,2.3,3.8,17.9,14.8,-0.4,9.9,158.5
516,0,15.7,5.3,12.9,8.4,5.7,6.6,1.6,0.1,11.3,2.7,18.1,9.1,3.8,5.5,20.7,14.9,1.1,11.9,163.5
517,0,16.7,5.0,15.7,8.0,7.4,8.4,3.5,3.3,13.3,3.8,19.6,12.8,5.1,8.2,22.4,15.2,2.1,13.2,166.1
518,0,16.4,4.0,17.0,7.0,10.4,10.7,4.1,4.5,10.9,3.0,12.8,7.3,6.1,9.9,21.2,15.8,3.0,12.7,164.7
519,0,16.9,4.9,17.5,7.9,14.1,13.3,4.5,6.0,7.4,3.2,5.0,5.9,7.0,11.2,18.7,18.1,4.4,12.1,163.2
520,0,18.5,7.5,18.8,9.5,16.1,14.7,5.1,8.0,6.2,4.4,0.0,10.6,7.1,12.6,18.6,20.2,6.2,11.9,162.6
521,0,18.5,9.4,20.6,8.7,13.9,13.5,3.9,7.1,5.8,2.5,-2.6,10.9,5.3,11.6,20.5,18.4,6.8,9.6,160.5
